id,source_sentence_id,domain,split,sentence,target,from,to,polarity,is_implicit,opinion_words,source_file,aspect,opinion,polarity_reasoning,raw_polarity_output,prediction
1,2339,laptop,train,I charge it at night and skip taking the cord with me because of the good battery life.,cord,41,45,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,battery life,good battery life,Positive,positive,positive
3,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,27,41,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,service policy,The service center does not offer 1-to-1 exchange.,Negative,Negative,negative
4,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",109,121,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,retail shop,no clear opinion,Neutral,neutral,neutral
5,1316,laptop,train,"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,4,12,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,role,no clear opinion,Neutral,neutral,neutral
11,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,46,54,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,specific features,great features,Positive,positive,positive
12,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,77,82,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,features,great features,Positive,positive,positive
13,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,84,94,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,features,great features,Positive,positive,positive
14,76,laptop,train,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,96,107,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,features,great features,Positive,positive,positive
20,1630,laptop,train,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,87,94,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,battery reset,resetting the battery,Negative,Negative,negative
22,38,laptop,train,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,108,112,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,design concealment,very clever con,Positive,positive,positive
23,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,13,33,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,interaction method,useful,Positive,positive,positive
24,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,44,57,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,tracking area size,large tracking area,Positive,positive,positive
26,337,laptop,train,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,115,121,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,gaming,no clear opinion,Neutral,neutral,neutral
32,743,laptop,train,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,50,58,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,software installation,no clear opinion,Neutral,neutral,neutral
34,2587,laptop,train,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,51,79,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,compatibility differences,disappointment with compatibility differences,Negative,Negative,negative
36,2227,laptop,train,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",32,46,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,screen size and resolution,great screen size and resolution,Positive,positive,positive
45,1254,laptop,train,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,57,76,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,clock setting method,no clear opinion,Neutral,neutral,neutral
48,839,laptop,train,I sent it back to Toshiba twice they covered it under the  warranty.,warranty,59,67,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,warranty coverage,good warranty coverage,Positive,positive,positive
49,696,laptop,train,I was looking for a mac which is portable and has all the features that I was looking for.,features,58,66,positive,1,,Laptops_Train_v2_Implicit_Labeled.xml,features,has all the features that I was looking for,Positive,positive,positive
51,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,31,54,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,customer service number contact,no clear opinion,Neutral,neutral,neutral
52,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,76,84,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,warranty expiration,warranty expiration is a concern,Negative,Negative,negative
53,1425,laptop,train,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,137,160,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,cost associated,cost associated with talking to a technician,Negative,Negative,negative
55,661,laptop,train,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,70,77,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,system issues,windows is experiencing system issues,Negative,Negative,negative
56,661,laptop,train,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,122,129,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,driver files,no clear opinion,Neutral,neutral,neutral
60,463,laptop,train,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,28,48,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,contact,no clear opinion,Neutral,neutral,neutral
63,1433,laptop,train,Nightly my computer defrags itself and runs a virus scan.,virus scan,46,56,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,virus scan is mentioned,no clear opinion,Neutral.,neutral,neutral
67,1224,laptop,train,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,120,136,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,warranty coverage duration,no clear opinion,Neutral,neutral,neutral
69,1541,laptop,train,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,48,54,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,cost of webcam,high cost,Negative,Negative,negative
71,3060,laptop,train,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,27,35,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,internet usage,no clear opinion,Neutral,neutral,neutral
72,3060,laptop,train,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,41,64,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,managing personal files,no clear opinion,Neutral,neutral,neutral
85,1365,laptop,train,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,64,72,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,warranty expiration,no clear opinion,Neutral,neutral,neutral
87,2271,laptop,train,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,16,22,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,memory upgrade,upgraded to four gigabytes,Positive,positive,positive
99,2381,laptop,train,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,18,30,negative,1,,Laptops_Train_v2_Implicit_Labeled.xml,battery life performance,still testing the battery life,Negative,Negative,negative
113,331,laptop,train,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,142,148,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,battery life for gaming,over 5 hours,Negative,Negative,negative
114,331,laptop,train,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,153,166,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,battery life for movie,just over 5 hours,Negative,Negative,negative
118,1095,laptop,train,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",17,45,neutral,1,,Laptops_Train_v2_Implicit_Labeled.xml,general,no clear opinion,Neutral,neutral,neutral
